"variable","n","W","p_value"
"fss_sum",22,0.921762348318806,0.082689739746144
"dsq_sum",22,0.938665303109205,0.185754327844831
"mip_pre_max",22,0.948361305678951,0.292967741733686
"sindex_pre_max",22,0.951993756983212,0.345744767027592
"pif_pre_max",22,0.95851796586859,0.459915417789792
"mip_post_max",22,0.900994477548723,0.031120491393956
"sindex_post_max",22,0.965401650801723,0.605376532924014
"pif_post_max",22,0.960964049288299,0.509011970631216
