"outcome","respiratory","mean_beta","mean_adj_r2","mean_conditional_r2","significant_models","model1_beta","model1_p","model1_adjR2","model1_condR2","model2_beta","model2_p","model2_adjR2","model2_condR2","model3_beta","model3_p","model3_adjR2","model3_condR2","model4_beta","model4_p","model4_adjR2","model4_condR2"
"dsq_sum","fit_post_max",-0.0101527866834555,-0.00882917059765272,0.649969910515699,0,-0.00763307421594482,0.962390598559003,5.74650342968663e-05,0.636453791858151,-0.0277576092836055,0.86616252981204,0.0650566392316522,0.663486029173246,0.00849262700157691,0.970078957591343,-0.0499242690509427,NA,-0.0137130902358484,0.953037373785933,-0.0505065176056172,NA
"dsq_sum","fit_pre_max",-0.0147216431292858,-0.00895488912531714,0.648707429261297,0,-0.0108770622965661,0.946172842977923,0.000116745576697493,0.635998296191691,-0.0102304229231479,0.949787090330449,0.0639508593234889,0.661416562330904,-0.0242182076629454,0.914806420400504,-0.0493841523384742,NA,-0.013560879634484,0.952643631143895,-0.0505030090629808,NA
"dsq_sum","id_post_max",0.0073297962343813,0.0911370636573238,0.581386136156353,0,-0.0267533997086142,0.895470131249471,0.000701506647628681,0.56979677882229,0.00334850862127864,0.985951835120589,0.216238227643898,0.592975493490416,-0.00210666070629349,0.993822025440556,-0.0714238164078591,NA,0.0548307367311543,0.8184290671622,0.219032336745628,NA
"dsq_sum","id_pre_max",0.0155669177530213,0.0953258931353012,0.581364007654254,0,-0.0520865968434929,0.788419344890614,0.00265807398802327,0.571253716599887,-0.0113984462405018,0.950876277489185,0.216304861451518,0.59147429870862,-0.00232957484457186,0.993168322921358,-0.0714227568725467,NA,0.128082288940652,0.602046434012444,0.23376339397421,NA
"dsq_sum","mip_post_max",-0.340622841411259,0.111711276019484,0.744429510927571,2,-0.346972983985405,0.00352332494974696,0.123240885789007,0.732383201696404,-0.340054106102843,0.00462935651422846,0.17539271261551,0.756475820158738,-0.356795538867408,0.103101632645864,0.083668209383468,NA,-0.31866873668938,0.15374129103403,0.0645432962899499,NA
"dsq_sum","mip_post_max_percentpredict_1",-0.462776407539958,0.22636214226115,0.700620861522663,4,-0.346505090086732,0.00421041074406095,0.128638319266073,0.691269518701505,-0.361489129064994,0.00307176010057324,0.207008428505968,0.709972204343821,-0.510685035095148,0.0151550819096477,0.22383916532364,NA,-0.632426375912957,0.00394540368615282,0.34596265594892,NA
"dsq_sum","mip_post_max_percentpredict_2",-0.427889290566922,0.183428504712232,0.724150882409629,4,-0.361203166006445,0.0029694684624115,0.137373823277463,0.713194117679897,-0.365313114506489,0.00284314971770434,0.202866895815155,0.735107647139362,-0.457856494998439,0.0321341680238016,0.170114198512868,NA,-0.527184386756317,0.0213832307391786,0.22335910124344,NA
"dsq_sum","mip_pre_max",-0.269816469824564,0.0723756664815833,0.79002560347374,2,-0.372048362537444,0.00095711317050243,0.137978156118057,0.780112967250442,-0.369443109779405,0.00115360918203049,0.189556977966947,0.799938239697037,-0.167672885204891,0.455755999950628,-0.0204800937454208,NA,-0.170101521776517,0.453654782490477,-0.0175523744132506,NA
"dsq_sum","mip_pre_max_percentpredict_1",-0.404078812849021,0.156935608535902,0.756729054408092,3,-0.373032125710215,0.0011794583777229,0.145453711372523,0.74867818267825,-0.386404982376832,0.000838724272681565,0.221665095598624,0.764779926137935,-0.316552330077338,0.151198254207586,0.0552156465612614,NA,-0.540325813231699,0.026939517085019,0.205407980611198,NA
"dsq_sum","mip_pre_max_percentpredict_2",-0.355923039343951,0.118994181721414,0.775011442440874,2,-0.385563764682466,0.000873370913988309,0.152134166923138,0.765621170780493,-0.389675277871382,0.000806882938556009,0.21567119547999,0.784401714101256,-0.265494290256356,0.232412255913918,0.0240115790666624,NA,-0.382958824565601,0.120872171842055,0.0841597854158644,NA
