outcome,resp_type,n,r_pre,r_pre_ci_low,r_pre_ci_high,r_post,r_post_ci_low,r_post_ci_high,r_diff,r_diff_ci_low,r_diff_ci_high,r_xprepost,t_steiger,p_steiger_two,direction_H1,p_steiger_one
fss_sum,mip,22,-0.213073141578637,-0.582365678382143,0.229117739111273,-0.484437209007471,-0.752377877085973,-0.0789546907782872,-0.271364067428835,-0.52301806280302,-0.006866100151248,0.763143018654607,2.04198553199927,0.0552840599450604,post_stronger,0.0276420299725302
fss_sum,smip,22,-0.136878025106838,-0.528015274622926,0.302168227318282,-0.26711958253683,-0.619014675668018,0.174095474436414,-0.130241557429992,-0.315271536772983,0.0826436547717066,0.91525438335958,1.48924550152038,0.152835036567244,post_stronger,0.076417518283622
fss_sum,fit,22,-0.175769311480105,-0.556162850676649,0.265515371416459,-0.285351104665874,-0.631041230137245,0.154891825731702,-0.109581793185769,-0.313862276453498,0.0917352941469141,0.918594724704467,1.26848772682977,0.219946126106734,post_stronger,0.109973063053367
fss_sum,id,16,-0.110701860692512,-0.574861383315426,0.407357411743222,-0.166790803443385,-0.611904431556629,0.358559935653816,-0.0560889427508727,-0.450843743069417,0.246279749525759,0.838235294117647,0.361101491464655,0.723824088388217,post_stronger,0.361912044194108
fss_sum,slopesmip,16,-0.0516608683231722,-0.533698932855321,0.455714661288258,-0.107749811074045,-0.572857582541131,0.409846292723653,-0.0560889427508727,-0.550088024073456,0.443970733520944,0.723529411764706,0.273739560232172,0.788585789852842,post_stronger,0.394292894926421
fss_sum,sindex,22,-0.217908764770193,-0.585707032170263,0.224307279976,-0.49091551968763,-0.756042688925871,-0.087395727455628,-0.273006754917437,-0.647338737608456,0.0660787235889936,0.660041065815283,1.67427265611724,0.11045947002083,post_stronger,0.0552297350104148
fss_sum,pif,22,-0.221686987806276,-0.588309065174393,0.220533661223758,-0.455302107663558,-0.735688389241322,-0.0416979704446923,-0.233615119857282,-0.571390020241742,0.096269758336063,0.668764411495528,1.41324750834581,0.173756952701813,post_stronger,0.0868784763509065
fss_sum,volume,22,0.0843513121969061,-0.349693358517598,0.488584131318655,0.229940542493541,-0.212243858729441,0.59396693873786,0.145589230296634,-0.205245289401229,0.515558240141157,0.823196194406536,-1.11679127557162,0.278007964372898,post_stronger,0.139003982186449
fss_sum,mip_pp_1,22,-0.265837486777743,-0.618162675226948,0.175433420283647,-0.456448620914125,-0.736351646695379,-0.043142659321706,-0.190611134136382,-0.494597842135487,0.175605433490166,0.680406549971767,1.16810419744449,0.257213843006896,post_stronger,0.128606921503448
fss_sum,mip_pp_2,22,-0.259615758363796,-0.614016314732198,0.181903111222901,-0.523190798445558,-0.774056563618218,-0.130330974209052,-0.263575040081762,-0.549062688476082,0.0366001851882869,0.743647656691135,1.92968018022251,0.0687152616764604,post_stronger,0.0343576308382302
fss_sum,mip_pp_3,22,-0.188348687440401,-0.5650841429371,0.253380556804788,-0.490950933027832,-0.756062676842683,-0.087442029726899,-0.302602245587431,-0.570738220931991,-0.0288925347184318,0.722190852625635,2.10964326689259,0.0483806725037416,post_stronger,0.0241903362518708
fss_sum,mip_pp_4,22,-0.188348687440401,-0.5650841429371,0.253380556804788,-0.490950933027832,-0.756062676842683,-0.087442029726899,-0.302602245587431,-0.570738220931991,-0.0288925347184318,0.722190852625635,2.10964326689259,0.0483806725037416,post_stronger,0.0241903362518708
fss_sum,mip_pp_5,22,-0.191742357484372,-0.567475937471358,0.250082835183132,-0.451358115848168,-0.733402677659572,-0.0367414307715565,-0.259615758363796,-0.58629252263548,0.0691782636306498,0.663466967814794,1.56309249913844,0.134533697761962,post_stronger,0.067266848880981
fss_sum,sindex_pp,22,-0.343326286115085,-0.668211597250679,0.0915312402559695,-0.59954837443491,-0.815116121637979,-0.238134225104113,-0.256222088319825,-0.660043040696209,0.153978228420625,0.672501411631846,1.7243786682499,0.100871419805679,post_stronger,0.0504357099028393
woods_sum,mip,22,-0.293884908753055,-0.636614093803221,0.145787208926508,-0.367780825115818,-0.683418707262291,0.0637058135000527,-0.0738959163627624,-0.403376542503375,0.242251864629791,0.763143018654607,0.502928971031865,0.620794212378208,post_stronger,0.310397106189104
woods_sum,smip,22,0.212224652426279,-0.229959591244484,0.581778093581641,0.088335348295716,-0.346165308584071,0.491633908421394,-0.123889304130563,-0.309854222856947,0.101755414240744,0.91525438335958,1.39362222906063,0.17952036482593,pre_stronger_or_equal,0.910239817587035
woods_sum,fit,22,0.136597267733032,-0.302428188442853,0.527808903289435,0.00597783768531277,-0.416680772595559,0.426511345085883,-0.130619430047719,-0.352149737868809,0.0812962443818206,0.918594724704467,1.49578270366234,0.151136211928761,pre_stronger_or_equal,0.92443189403562
woods_sum,id,16,0.173913468475947,-0.352150715839564,0.616472782514729,-0.00589537181274397,-0.500139111487001,0.491245557930622,-0.179808840288691,-0.5974155410588,0.128021015735017,0.838235294117647,1.20653032483348,0.24911110818204,pre_stronger_or_equal,0.87544444590898
woods_sum,slopesmip,16,-0.38614685373473,-0.740172101212258,0.135494083289341,-0.119381279208065,-0.580720753239206,0.399994924831303,0.266765574526665,-0.0986726296077965,0.744978900249362,0.723529411764706,-1.44762048577085,0.171406930250276,pre_stronger_or_equal,0.914296534874862
woods_sum,sindex,22,-0.131556568939587,-0.524095850421692,0.307084426408813,-0.285511778410362,-0.631146486153948,0.15472109273331,-0.153955209470774,-0.529701627202019,0.214651475504907,0.660041065815283,0.851220433794616,0.40524779366349,post_stronger,0.202623896831745
