"","Estimate","Est.Error","Q2.5","Q97.5"
"b_Intercept",62.3934908805177,12.3737741104535,37.5017433960455,86.3248117499442
"b_mip_pre_max_post",-0.0253383564303605,0.113250926344835,-0.250320596876129,0.202776483791879
"b_mip_pre_max_pre",-0.455057829136249,0.287475900020756,-1.02109833714525,0.147907762001304
"b_interventiongroup",-0.0296470607776829,0.982162406358147,-1.92930994989003,1.88706086804224
"sigma",13.3510243691256,2.8604354329835,9.02630473528322,20.0906692605137
"Intercept",37.141323373844,3.59221415748192,29.9429465456265,44.4553348817193
"lprior",-10.9259567313577,0.773728053904284,-12.9920170547488,-10.0069101919632
"lp__",-64.464709228527,1.75354908401949,-68.8124147791665,-62.1912924647922
"b_Intercept",52.2654606964206,11.1463338491971,30.3234470266129,75.4816289705548
"b_mip_post_max_post",-0.0484642271172097,0.122779350113322,-0.297179132824503,0.187968236809533
"b_mip_post_max_pre",-0.21834951975675,0.197549850619629,-0.614420983935781,0.17107838049925
"b_interventiongroup",-0.0820552858194252,0.990986912944678,-1.97408029970665,1.83979957931453
"sigma",14.572918349749,3.07793926654866,9.88465968812908,21.8636671658977
"Intercept",37.0904204506308,3.98185219109906,28.9498294249932,44.8223977053924
"lprior",-10.9789447814317,0.777290786670782,-13.0854039000462,-10.0541431383632
"lp__",-65.6922619912798,1.7432967197559,-69.9969336610185,-63.3303258440633
"b_Intercept",45.0349884797172,8.14645395353083,28.4897664961739,61.1800111593365
"b_smip_pre_max_post",-0.0376488187099743,0.0315183661703575,-0.100952627202436,0.0251227187834223
"b_smip_pre_max_pre",0.0121193041094841,0.0304329893551044,-0.0479722839760448,0.0729155545355674
"b_interventiongroup",-0.0851200379672116,0.981823704870712,-2.03870153320407,1.82706909945296
"sigma",15.1253114390578,3.37388318706468,9.97753158209489,23.1830297290535
"Intercept",37.1269992211255,3.93996458703758,29.3102920118486,44.9065854394085
"lprior",-10.9813976789477,0.784153723291699,-13.0257655363079,-10.0166163206693
"lp__",-66.1584251604811,1.75695928765266,-70.3518877327246,-63.7800446003601
"b_Intercept",40.3512617944038,8.17096054631934,23.4984907909836,55.9776651120866
"b_fmd_percent_post",-0.530710738122025,0.804791972025618,-2.09117626523468,1.07379213139394
"b_fmd_percent_pre",0.121088395823958,0.987417671335232,-1.7957513309549,2.10882006664052
"b_interventiongroup",-0.156005458673412,1.01473299317896,-2.19020434547126,1.8537243781548
"sigma",14.6472936818387,3.01682878531122,10.1323458478996,21.8888422824513
"Intercept",37.0901696878822,3.87347856490913,29.6573839452539,45.166055521278
"lprior",-11.9252337245602,1.29769554218292,-15.1664223627351,-10.3431631312494
"lp__",-66.7727043121042,1.70837661772998,-71.1003781512083,-64.5792996220408
"b_Intercept",52.8573229082179,10.5111179606918,31.1768433336234,73.1734175516373
"b_cpet_vo2peak_relative_post",0.0699004513171556,0.524551885658745,-0.976417319524023,1.08011862851879
"b_cpet_vo2peak_relative_pre",-0.786173209509843,0.600113609904092,-1.95678830808642,0.43414837313421
"b_interventiongroup",-0.151789254722642,0.998089576250565,-2.12876878037628,1.82844429638491
"sigma",13.6827464239363,2.78958847497562,9.21237862555943,19.9922350246307
"Intercept",37.0480103043089,3.52628336985451,29.7287201432651,44.0985527120914
"lprior",-11.466380812971,0.98944752607282,-13.9612238095652,-10.2360660614939
"lp__",-65.3142449864302,1.57962404887505,-69.0309173349023,-63.1331801884517
"b_Intercept",37.3458313491749,10.2260478149839,17.3618205286663,57.3868218218491
"b_mip_pre_max_post",-0.0334325627194948,0.0956822294181765,-0.224770476555246,0.15250060781481
"b_mip_pre_max_pre",-0.36494605356845,0.246661913166322,-0.858029845445398,0.13224313823715
"b_interventiongroup",0.100148768039552,1.0176943187446,-1.90985507610984,2.0823449787165
"sigma",11.0512128447038,2.476911194818,7.34934949611266,16.8646697029417
"Intercept",15.9882439057586,2.86504349528209,10.2130202325127,21.6464482858972
"lprior",-10.4556944011882,0.831629988627548,-12.710963961636,-9.60560182479667
"lp__",-61.3290904657428,1.77794440004562,-65.61604586905,-58.9407213321889
"b_Intercept",32.9170927602458,8.31730586076868,16.2170744875222,48.509363264792
"b_mip_post_max_post",-0.0122967274001794,0.088714049437261,-0.187752606639084,0.164079298038372
"b_mip_post_max_pre",-0.314393664048627,0.144359496881685,-0.607398686430972,-0.021354846818182
"b_interventiongroup",-0.0196590654551561,0.96714249721199,-1.95614863715353,1.90310807668772
"sigma",10.4780340739047,2.35266104953256,7.0670800074856,16.1689659790127
"Intercept",15.9697313751296,2.76528683755604,10.5743762319185,21.8108300368639
"lprior",-10.3019666701799,0.705855725941752,-12.2887678571603,-9.55861389714865
"lp__",-60.4229209005268,1.77535230180727,-64.9572689682104,-58.1248416696837
"b_Intercept",23.2407691298579,6.68976602741638,9.85158115712059,36.5259210590209
"b_smip_pre_max_post",-0.0233858853760788,0.0264679116059267,-0.075343621640805,0.0284536462555739
"b_smip_pre_max_pre",-0.00257513972303397,0.0251718938164009,-0.0522954138698498,0.0489119975828356
"b_interventiongroup",-0.056419343921437,1.00997585404086,-2.04155516309978,1.89834190241032
"sigma",12.4525572443869,2.67518669924747,8.35265977531554,18.7194809978744
"Intercept",15.9389294583205,3.280866798996,9.27685360771006,22.3124540629398
"lprior",-10.4983404007888,0.766094721916318,-12.5549742272475,-9.63988992709593
"lp__",-63.0787353303669,1.74032780447618,-67.4413921254823,-60.7549204065458
"b_Intercept",21.4192259648684,7.20394360233417,7.1593950010628,35.8643642799713
"b_fmd_percent_post",-0.81323468828853,0.722283069825245,-2.19452799872205,0.63002556560381
