"outcome","respiratory","pearson_r","pearson_p","spearman_rho","spearman_p","n"
"fss_sum","mip_pre_max",-0.473685037917142,0.00201932659869272,-0.484243768302572,0.00154475927519088,40
"fss_sum","mip_pre_max_percentpredict_1",-0.582217224785903,8.11097955461743e-05,-0.54303045315638,0.000293978694604173,40
"fss_sum","mip_pre_max_percentpredict_2",-0.596149088273646,4.92617355598578e-05,-0.530917202515333,0.000424249010660948,40
"fss_sum","smip_pre_max",-0.261026435462503,0.103764505145009,-0.263956182573506,0.0998041517527985,40
"fss_sum","fit_pre_max",-0.123633667495694,0.447221060623814,-0.190308723517144,0.23949953209987,40
"fss_sum","pif_pre_max",-0.38872290797445,0.0144598057450414,-0.351141581435459,0.0283898042571531,39
"fss_sum","sindex_pre_max",-0.381060364118526,0.0166939776181807,-0.349269941124599,0.0293037388506007,39
"fss_sum","volume_pre_max",0.19303430860788,0.239039534775112,0.162067740138531,0.324270643106946,39
"fss_sum","id_pre_max",0.0109084603667353,0.955213225969785,-0.0722922371083227,0.709394554634334,29
"fss_sum","slopesmip_pre_max",-0.248208074980053,0.194193149428115,-0.248211571778064,0.194186661960581,29
"fss_sum","mip_post_max",-0.493234522225805,0.00122135897402398,-0.582393901159928,8.06099488754801e-05,40
"fss_sum","mip_post_max_percentpredict_1",-0.600223633178151,4.23895646249929e-05,-0.573360530342877,0.000110075884596549,40
"fss_sum","mip_post_max_percentpredict_2",-0.61544980210258,2.37325408480499e-05,-0.605193026213534,3.51935152733953e-05,40
"fss_sum","smip_post_max",-0.348169612863949,0.0276944076142429,-0.388317757953616,0.0132830518643466,40
"fss_sum","fit_post_max",-0.148642269132427,0.359989423545582,-0.239582528750219,0.136490862660861,40
"fss_sum","pif_post_max",-0.421137712709023,0.00758784745705452,-0.459089329311971,0.00328450662737877,39
"fss_sum","sindex_post_max",-0.425948763516059,0.00685862118560859,-0.479379105360624,0.00201670311147857,39
"fss_sum","volume_post_max",-0.069060195696084,0.676131190796865,0.187956583382327,0.251858508944372,39
"fss_sum","id_post_max",0.0250335610833263,0.897436883939842,-0.11497673205624,0.552573506873839,29
"fss_sum","slopesmip_post_max",-0.263111254394289,0.167891096767138,-0.265976217074307,0.16313930580391,29
"woods_sum","mip_pre_max",-0.360894174304321,0.0221476526651849,-0.434231634342869,0.0051164522717601,40
"woods_sum","mip_pre_max_percentpredict_1",-0.360788558773012,0.0221895507070016,-0.424232600901554,0.00636840309053997,40
"woods_sum","mip_pre_max_percentpredict_2",-0.326268483312219,0.0399104688121014,-0.353213617823799,0.0253719298679608,40
"woods_sum","smip_pre_max",-0.111024391667183,0.495221876828881,-0.127834169539958,0.431814710954002,40
"woods_sum","fit_pre_max",-0.0241188154295092,0.882559742565376,-0.0624764429795327,0.701734228351432,40
"woods_sum","pif_pre_max",-0.201181688221283,0.219407173704904,-0.167310575020865,0.308650347381797,39
"woods_sum","sindex_pre_max",-0.19511397365053,0.2339190296911,-0.169070943083756,0.303514446460764,39
"woods_sum","volume_pre_max",0.111627472547036,0.498690447652909,0.0843557554963026,0.609649806311912,39
"woods_sum","id_pre_max",-0.0247484226555961,0.898599116094262,-0.0919546136470853,0.635203316942939,29
"woods_sum","slopesmip_pre_max",-0.205526948191037,0.284807403547656,-0.152021740303649,0.431139493578923,29
"woods_sum","mip_post_max",-0.328260318224511,0.0386437779210848,-0.386759216105485,0.0136899933098169,40
"woods_sum","mip_post_max_percentpredict_1",-0.323204535818134,0.0419247811802837,-0.365065792483133,0.0205447768706679,40
"woods_sum","mip_post_max_percentpredict_2",-0.301792428353564,0.0584149253948844,-0.316716445063311,0.0464630602740275,40
"woods_sum","smip_post_max",-0.214140213211063,0.184559079391296,-0.238476838595421,0.138364558178157,40
"woods_sum","fit_post_max",-0.104659930752294,0.520414484408582,-0.145879711779356,0.369086366599657,40
"woods_sum","pif_post_max",-0.291778592905538,0.0714954323879583,-0.328109906317386,0.0414281537538611,39
"woods_sum","sindex_post_max",-0.281374232344574,0.0826942304736502,-0.342853159513954,0.0326231332296853,39
"woods_sum","volume_post_max",-0.0391349296641163,0.813016405020828,0.115916368997821,0.482230565810561,39
"woods_sum","id_post_max",-0.115222679049627,0.551718354266435,-0.181684518899483,0.345554885829164,29
"woods_sum","slopesmip_post_max",-0.240495257753923,0.208869349270026,-0.0875051968577102,0.651723378699191,29
