"outcome","resp_type","n","r_pre","r_pre_ci_low","r_pre_ci_high","r_post","r_post_ci_low","r_post_ci_high","r_diff","r_diff_ci_low","r_diff_ci_high","r_xprepost","t_steiger","p_steiger"
"fss_sum","mip",22,-0.215891193420929,-0.584314434350423,0.226316975522855,-0.486580786651584,-0.75359234829009,-0.0817412837480277,-0.270689593230655,-0.522908804025926,0.00640275696415662,0.642156124282245,1.60863749335965,0.124185784456546
"fss_sum","smip",22,-0.177129471638325,-0.557131721857205,0.264209987225299,-0.271067153209069,-0.621632792756628,0.169965686408443,-0.0939376815707441,-0.221260933691161,0.021408079340113,0.925283326042233,1.12351740988389,0.275213734266779
"fss_sum","fit",22,-0.310576385076085,-0.647411691498471,0.127761339500453,-0.316276722018985,-0.65106848271929,0.121538232931825,-0.00570033694290001,-0.117486341835542,0.126454886958993,0.954169281328708,0.0865500176736979,0.931934808459051
"fss_sum","id",16,-0.101662141009392,-0.56870774804923,0.414954604147384,-0.12104472976346,-0.581838296884978,0.398576173991115,-0.0193825887540681,-0.220452979403257,0.197334673459324,0.939543529258121,0.202592658779319,0.842589692453062
"fss_sum","slopesmip",16,-0.178600101903331,-0.619462540720592,0.347906436240094,-0.105578381255876,-0.571380095909876,0.41167212467815,0.0730217206474559,-0.129239877575871,0.227801171075089,0.956136249031431,-0.927461890493203,0.370586551280718
"fss_sum","sindex",22,-0.26304783126592,-0.616305980379768,0.178338976579084,-0.458658213976888,-0.737628379795979,-0.0459317890167498,-0.195610382710968,-0.506364060317242,0.0784800770785631,0.776506120271213,1.45388069009338,0.162299096709571
"fss_sum","pif",22,-0.254622302783974,-0.610674305082362,0.187068072586854,-0.434963844865544,-0.723832652551668,-0.0163545718492832,-0.18034154208157,-0.490108110412925,0.0843972486577687,0.784621722398847,1.34527633689552,0.194373467389665
"fss_sum","volume",22,0.0885445016827615,-0.345979753360437,0.491793742342383,0.208151226530838,-0.233991960603271,0.578951835646596,0.119606724848077,-0.151798544654665,0.416449319825983,0.84261246352849,-0.963172739088781,0.347560203253185
"woods_sum","mip",22,-0.286137123870936,-0.631556023554814,0.154056346034277,-0.303701776900448,-0.642980873078953,0.135220775422694,-0.0175646530295117,-0.364125039083962,0.289341470665086,0.642156124282245,0.095571736021556,0.92486152501623
"woods_sum","smip",22,0.195860976898633,-0.246066843699062,0.570370170256676,0.0913988473544971,-0.343444053346179,0.493972305534993,-0.104462129544136,-0.220824057002089,0.0534933189523287,0.925283326042233,1.23779973625613,0.230868653469367
"woods_sum","fit",22,0.00330958602310882,-0.418883349487271,0.424325949924098,-0.0867773722438449,-0.490442455566255,0.347546433874133,-0.0900869582669538,-0.190798219489883,0.0954087336004409,0.954169281328708,1.35988244023105,0.189786562668078
"woods_sum","id",16,0.144547311496705,-0.378261544640019,0.597444058256339,0.011437454212078,-0.48702913943572,0.504283693669681,-0.133109857284627,-0.300340523002479,0.0883893340195723,0.939543529258121,1.49952495590803,0.157625961690069
"woods_sum","slopesmip",16,-0.379044746113509,-0.736387006827298,0.143652005605054,-0.32314820568544,-0.705794874549353,0.205470715288451,0.0558965404280685,-0.068287888630314,0.354992374792114,0.956136249031431,-0.743125055956265,0.470623011461296
"woods_sum","sindex",22,-0.0737504719221644,-0.48042079998953,0.35902131993691,-0.1996017212472,-0.572990828736911,0.242406114432855,-0.125851249325036,-0.386124439905196,0.182027658849227,0.776506120271213,0.844603138680111,0.408842023272689
"woods_sum","pif",22,-0.0700740021461814,-0.477573128228271,0.362236277680993,-0.201759611630726,-0.574499120135771,0.240288641688411,-0.131685609484544,-0.39502218213602,0.192335359224884,0.784621722398847,0.902416309654932,0.378134207075063
"woods_sum","volume",22,0.0100202451999991,-0.413334382375473,0.429812895907175,0.122376244817135,-0.315510944598529,0.517294932820105,0.112355999617136,-0.0441594546918158,0.327005529773103,0.84261246352849,-0.893168788596421,0.382940550722417
"dsq_sum","mip",22,-0.167672885204891,-0.550374117270734,0.27325240386307,-0.356795538867408,-0.676621202671533,0.0762888948719174,-0.189122653662517,-0.534497767631845,0.098910239571765,0.642156124282245,1.04550042247344,0.308911355296811
"dsq_sum","smip",22,-0.0623583244781168,-0.471568850736941,0.368950114715144,-0.107038090465062,-0.505819818096813,0.329437254552373,-0.0446797659869456,-0.254337212990695,0.153448915752725,0.925283326042233,0.509129921114548,0.616523046774241
"dsq_sum","fit",22,-0.0242182076629453,-0.441320506959492,0.40148969020713,0.00849262700157705,-0.414600322559624,0.428566564169258,0.0327108346645223,-0.0849730109626495,0.206428358045235,0.954169281328708,-0.473738569041648,0.641084464434735
"dsq_sum","id",16,-0.00232957484457189,-0.497460445967753,0.493946155437541,-0.00210666070629354,-0.497292676271699,0.494114664632046,0.000222914138278346,-0.148340776201969,0.149105333914771,0.939543529258121,-0.00231139456279527,0.998190868670986
"dsq_sum","slopesmip",16,-0.388273460150084,-0.741301135878454,0.133037492584216,-0.416378564386345,-0.756037037910843,0.0999582569952631,-0.0281051042362614,-0.163785423602582,0.131708133505819,0.956136249031431,0.376540995256482,0.712588891761671
"dsq_sum","sindex",22,-0.293752532718131,-0.63652792021831,0.145929010353751,-0.496220096721562,-0.759031185734215,-0.0943508453305406,-0.202467564003431,-0.538114923842711,0.0685416403424154,0.776506120271213,1.54010096356605,0.14002525578683
"dsq_sum","pif",22,-0.278477940731395,-0.626526728873054,0.162170756008656,-0.48307095198154,-0.751602855139824,-0.0771818940012898,-0.204593011250145,-0.529844314814243,0.0774228513821732,0.784621722398847,1.57738210865509,0.131212073896466
"dsq_sum","volume",22,0.0782063466426606,-0.355110981564415,0.483860717140814,0.118950060410027,-0.318638203985143,0.514743919444282,0.0407437137673661,-0.106485850193871,0.238034868566233,0.84261246352849,-0.319070948365721,0.753153973144202
