"outcome","resp_type","N","beta_pre","beta_post","beta_diff","se_diff","z_diff","p_two_tailed","p_one_tailed","stronger_side"
"fss_sum","mip",22,-0.0564391951402769,-0.0639640550887948,-0.00752485994851789,0.0653356257159137,-0.115172386673647,0.908308485247681,0.454154242623841,"pre"
"fss_sum","smip",22,-0.00300461657783815,-0.00472903397341778,-0.00172441739557963,0.0029459973704753,-0.585342476154833,0.55831745932345,0.279158729661725,"pre"
"fss_sum","fit",22,-0.0154007271250511,-0.0222563774702269,-0.00685565034517582,0.0152461313431612,-0.449664914388331,0.652952073584083,0.326476036792041,"pre"
"fss_sum","id",16,-0.0140366138253157,-0.0186314085196519,-0.00459479469433621,0.0493044401074089,-0.0931923105571533,0.925750783091939,0.462875391545969,"pre"
"fss_sum","slopesmip",16,-0.00942288183941178,-0.00669653944533473,0.00272634239407705,0.0203776380113398,0.133790893358685,0.893567928499145,0.446783964249572,"post"
"fss_sum","sindex",22,-0.0963853895569088,-0.107955938630503,-0.0115705490735941,0.0693689810723015,-0.166797160557028,0.867529652936747,0.433764826468374,"pre"
"fss_sum","pif",22,-1.41726903965462,-1.6447929020486,-0.227523862393973,1.12051940958917,-0.203052138541173,0.839094280278434,0.419547140139217,"pre"
"fss_sum","volume",22,0.164142461247268,0.172410382176679,0.00826792092941103,0.588764678964385,0.0140428276776963,0.98879581285333,0.494397906426665,"post"
"woods_sum","mip",22,-0.00799947596590912,-0.00852788019891547,-0.000528404233006347,0.0253815710321899,-0.0208184210637003,0.983390503039401,0.4916952515197,"pre"
"woods_sum","smip",22,0.00469068263127283,0.00591605423605511,0.00122537160478228,0.002734406281366,0.448130774542449,0.654058819159335,0.327029409579667,"post"
"woods_sum","fit",22,-0.00859778792489509,-0.0119256250626891,-0.00332783713779404,0.0160541270485244,-0.207288576185768,0.835784495283088,0.417892247641544,"pre"
"woods_sum","id",16,0.150456074195137,0.165008617680115,0.0145525434849777,0.0720258444312806,0.202046134965654,0.839880657368208,0.419940328684104,"post"
"woods_sum","slopesmip",16,-0.058332610174416,-0.0393334210407912,0.0189991891336249,0.0197626611600079,0.961367954436823,0.336367191030365,0.168183595515182,"post"
"woods_sum","sindex",22,0.0136515096850468,0.00869659298012836,-0.00495491670491841,0.0281100230004911,-0.176268681986914,0.860082864925109,0.430041432462554,"pre"
"woods_sum","pif",22,0.220768240923948,0.143034417832951,-0.0777338230909974,0.44757069622196,-0.173679429299472,0.862117404851425,0.431058702425712,"pre"
"woods_sum","volume",22,1.13534926141172,1.26848336396165,0.133134102549934,0.741651455245712,0.179510336841214,0.857537001536339,0.428768500768169,"post"
"dsq_sum","mip",22,-0.0274255175987727,-0.0286902051052738,-0.00126468750650116,0.0476321631132662,-0.0265511247829291,0.978817756273273,0.489408878136636,"pre"
"dsq_sum","smip",22,-0.000623669016843659,-0.000934249233971981,-0.000310580217128323,0.00221453891519025,-0.140245996581027,0.888465630981841,0.444232815490921,"pre"
"dsq_sum","fit",22,0.00010287082209672,0.000130278548166056,2.74077260693358e-05,0.00324618568921475,0.00844305554066002,0.993263496373688,0.496631748186844,"post"
"dsq_sum","id",16,0.0244497563040107,0.028342397070342,0.00389264076633122,0.0769473341687089,0.0505883772113081,0.959653524608984,0.479826762304492,"post"
"dsq_sum","slopesmip",16,-0.00773796096724544,-0.00521237022739186,0.00252559073985358,0.0125660948681935,0.200984535477779,0.84071066623843,0.420355333119215,"post"
"dsq_sum","sindex",22,-0.0650157508585562,-0.0731637031314205,-0.00814795227286426,0.0569166706366144,-0.143155813256981,0.886167126216127,0.443083563108064,"pre"
"dsq_sum","pif",22,-1.05397584621048,-1.24541170148375,-0.191435855273268,0.951781748417151,-0.20113419446384,0.840593644994307,0.420296822497154,"pre"
"dsq_sum","volume",22,0.363911785846261,0.262954582084132,-0.100957203762129,0.581460486004525,-0.173626938015773,0.862158660088502,0.431079330044251,"pre"
